Planet,Radius,Mass,Orbital Speed,Angular Speed,Distance From Sun
HOM, 6.3710E+03 , 1.0000E+00 , 2.9780E+04 , 1.5740E+06 , 149600000
LUN, 1.7374E+03 , 1.2300E-02 , 1.0220E+06 , 2.7000E-06 , 150000000 
SOL, 6.9634E+05 , 3.32946E+05 , 2.3000E+02 ,0, 0.0
MER, 2.4397E+03 , 5.5000E-02 , 4.7360E+04 , 1.0830E+04 , 58000000 
VEN, 6.0518E+03 , 8.1500E-01 , 3.5020E+04 , 6.5200E+03 , 108000000 
MARS, 3.3895E+03 , 1.0700E-01 , 2.4080E+04 , 8.6600E+05 , 228000000
JUP, 6.9911E+04 , 3.1780E+02 , 1.3600E+04 , 4.5583E+07 , 778000000 
SAT, 5.8232E+04 , 9.5200E+01 , 9.6900E+03 , 3.6840E+07 , 1400000000
URN, 2.5362E+04 , 1.4500E+01 , 6.7900E+03 , 1.4794E+07 , 2900000000
NEP, 2.4622E+04 , 1.7100E+01 , 5.4500E+03 , 9.7190E+06 , 4500000000
PLU, 1.1883E+03 , 2.5000E-03 , 4.6400E+03 ,0, 5900000000